timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674383955111,403,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-27,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383955266,579,https://angobackend.nitishgarg.org/api/all-banner,304,Not Modified,Performance Test & Load Testing 1-24,,true,,220,412,7,7,https://angobackend.nitishgarg.org/api/all-banner,0,0,0
1674383955408,633,https://angobackend.nitishgarg.org/user/63c90b8c43adf29c4891cc04,200,OK,Performance Test & Load Testing 1-26,text,true,,982,1381,7,7,https://angobackend.nitishgarg.org/user/63c90b8c43adf29c4891cc04,633,0,0
1674383955515,589,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-27,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383955002,1187,https://angobackend.nitishgarg.org/api/admin/ad/63ca68612a8fcb1dc52c845b,200,OK,Performance Test & Load Testing 1-25,text,true,,1791,1422,7,7,https://angobackend.nitishgarg.org/api/admin/ad/63ca68612a8fcb1dc52c845b,1187,0,0
1674383955845,449,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-24,text,false,,1079,1438,7,7,https://angobackend.nitishgarg.org/api/file-upload/file,449,0,0
1674383956041,387,https://angobackend.nitishgarg.org/user/all-users,304,Not Modified,Performance Test & Load Testing 1-26,,true,,219,411,7,7,https://angobackend.nitishgarg.org/user/all-users,0,0,0
1674383956105,442,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-27,text,false,,1079,1438,7,7,https://angobackend.nitishgarg.org/api/file-upload/file,442,0,0
1674383931262,9258,Categories,,"Number of samples in transaction : 17, number of failing samples : 5",Performance Test & Load Testing 1-27,,false,,30039,16212,7,7,null,5682,16026,0
1674383956428,389,https://angobackend.nitishgarg.org/user/all-users,304,Not Modified,Performance Test & Load Testing 1-26,,true,,219,411,7,7,https://angobackend.nitishgarg.org/user/all-users,0,0,0
1674383956547,401,https://angobackend.nitishgarg.org/user/all-users,200,OK,Performance Test & Load Testing 1-27,text,true,,2263,359,7,7,https://angobackend.nitishgarg.org/user/all-users,401,0,0
1674383956189,846,https://angobackend.nitishgarg.org/api/admin,304,Not Modified,Performance Test & Load Testing 1-25,,true,,220,1361,7,7,https://angobackend.nitishgarg.org/api/admin,0,0,0
1674383956295,812,https://angobackend.nitishgarg.org/api/admin/banner/63cc40dd47a55ce7481b5dbc,200,OK,Performance Test & Load Testing 1-24,text,true,,730,1393,7,7,https://angobackend.nitishgarg.org/api/admin/banner/63cc40dd47a55ce7481b5dbc,812,0,0
1674383956669,456,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-28,text,false,,1079,1438,7,7,https://angobackend.nitishgarg.org/api/file-upload/file,456,0,0
1674383956818,643,https://angobackend.nitishgarg.org/user/delete/63c7dd84d4635e96fccc6696,200,OK,Performance Test & Load Testing 1-26,text,true,,952,1389,7,7,https://angobackend.nitishgarg.org/user/delete/63c7dd84d4635e96fccc6696,643,0,0
1674383957107,578,https://angobackend.nitishgarg.org/api/all-banner,304,Not Modified,Performance Test & Load Testing 1-24,,true,,220,412,7,7,https://angobackend.nitishgarg.org/api/all-banner,0,0,0
